unit,level,n,raw_agreement,raw_proportion,kappa_nominal,pe
domain,M1,12,11 of 12,0.9166666666666666,0.7142857142857143,0.7083333333333333
domain,M2,12,10 of 12,0.8333333333333334,0.5294117647058825,0.6458333333333333
domain,M3,12,8 of 12,0.6666666666666666,0.52,0.3055555555555556
domain,M4a,12,6 of 12,0.5,0.2727272727272725,0.3125000000000002
domain,M4b,12,10 of 12,0.8333333333333334,0.6,0.5833333333333334
domain,M4c,12,10 of 12,0.8333333333333334,0.6,0.5833333333333334
domain,M5,12,9 of 12,0.75,0.4375,0.5555555555555556
domain,M6,12,7 of 12,0.5833333333333334,0.17808219178082196,0.4930555555555556
domain,M7,12,8 of 12,0.6666666666666666,0.41463414634146345,0.4305555555555556
domain,M8,12,9 of 12,0.75,0.5813953488372092,0.4027777777777778
theory,AST,10,7 of 10,0.7,0.4117647058823528,0.49
theory,FM,10,6 of 10,0.6,0.3548387096774195,0.3799999999999999
theory,GNWT,10,6 of 10,0.6,0.2592592592592594,0.45999999999999985
theory,HOSS,10,6 of 10,0.6,0.35483870967741926,0.38
theory,HOT,10,6 of 10,0.6,0.33333333333333337,0.3999999999999999
theory,IIT,10,9 of 10,0.9,0.75,0.6
theory,NSF,10,7 of 10,0.7,0.5522388059701493,0.32999999999999985
theory,PFT,10,7 of 10,0.7,0.5890410958904111,0.2699999999999998
theory,PP,10,7 of 10,0.7,0.5652173913043477,0.31000000000000005
theory,RPT,10,10 of 10,1.0,1.0,0.82
theory,SIT,10,8 of 10,0.8,0.696969696969697,0.33999999999999986
theory,UAL,10,9 of 10,0.9,0.8148148148148149,0.45999999999999996
