publication_id,experiment_id,sample_id,participants_total,participants_in_analysis,note
P01,P01-E1,P01-FMRI,120,,
P01,P01-E1,P01-MEG,102,,
P01,P01-E1,P01-IEEG,34,,
P03,P03-E1,P03-S1,,12,
P08,P08-E1,P08-E1-S1,,20,
P08,P08-E2,P08-E2-S1,10,7,
P08,P08-E3,P08-E3-S1,5,5,
P10,P10-E1,P10-S1,20,20,
P12,P12-E1,P12-BEH,12,11,
P12,P12-E2,P12-EEG,26,18,
P13,P13-E1,P13-R-FMRI,37,,
P13,P13-E1,P13-R-EEG,59,,
P13,P13-E1,P13-R-ICEEG,7,,
P13,P13-E2,P13-NR-FMRI,65,,
P13,P13-E2,P13-NR-EEG,65,,
P13,P13-E3,P13-AUD,1,1,Overlaps a visual patient; do not sum participants across rows.
P19,P19-E1,P19-PFC,7,7,
P19,P19-E1,P19-TEMP,11,11,
P19,P19-E1,P19-CONTROL,19,19,
P20,P20-E1,P20-E1-S1,400,272,
P20,P20-E2,P20-E2-S1,461,339,
P22,P22-E1,P22-ARM,,18,
P22,P22-E2,P22-JUDGES,8,8,
P23,P23-E1,P23-S1,14,14,
P26,P26-E1,P26-E1-S1,12,12,
P26,P26-E2,P26-E2-S1,14,12,
P26,P26-E3,P26-E3-S1,6,6,
P29,P29-E1,P29-S1,10,8,Eight reported unawareness; analyses and other participants are discussed in the paper.
P32,P32-E1,P32-S1,80,,
P33,P33-E1,P33-MAIN,39,36,
P33,P33-E2,P33-PILOT,7,7,
P34,P34-E1,P34-PATIENTS,2,2,
