publication_id,study_family_id,experiment_id,sample_id,citation_label,doi,year,experiment_label,paradigm,unit_type_coder2,n_experiments_identified,partition_note,modality,affective_status,effector_type,manipulation,measured_outcome,report_type,theory_attribution_by_authors,by_authors_locus,theory_attribution_later,later_attribution_evidence,contested_inclusion,contested_reason
P01,,P01-E1,,Cogitate Consortium et al. 2025,10.1038/s41586-025-08888-1,2025,,,,,,,,,,,,,,,,,
P03,,P03-E1,,"Del Cul, Baillet & Dehaene 2007",10.1371/journal.pbio.0050260,2007,,,,,,,,,,,,,,,,,
P04,,P04-E1,,Dehaene et al. 2001,10.1038/89551,2001,,,,,,,,,,,,,,,,,
P06,,P06-E1,,Salti et al. 2015,10.7554/elife.05652,2015,,,,,,,,,,,,,,,,,
P07,,P07-E1,,"Sergent, Baillet & Dehaene 2005",10.1038/nn1549,2005,,,,,,,,,,,,,,,,,
P08,,P08-E1,,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,,,,,,,,,,,,,,,,,
P09,,P09-E1,,"Lumer, Friston & Rees 1998",10.1126/science.280.5371.1930,1998,,,,,,,,,,,,,,,,,
P10,,P10-E1,,Frässle et al. 2014,10.1523/jneurosci.4403-13.2014,2014,,,,,,,,,,,,,,,,,
P11,,P11-E1,,Tsuchiya & Koch 2005,10.1038/nn1500,2005,,,,,,,,,,,,,,,,,
P12,,P12-E1,,Pitts et al. 2014,10.3389/fpsyg.2014.01078,2014,,,,,,,,,,,,,,,,,
P13,,P13-E1,,Kronemer et al. 2022,10.1038/s41467-022-35117-4,2022,,,,,,,,,,,,,,,,,
P14,,P14-E1,,Dellert et al. 2025,10.1016/j.cub.2025.10.026,2025,,,,,,,,,,,,,,,,,
P16,,P16-E1,,Maniscalco & Lau 2012,10.1016/j.concog.2011.09.021,2012,,,,,,,,,,,,,,,,,
P17,,P17-E1,,Rounis et al. 2010,10.1080/17588921003632529,2010,,,,,,,,,,,,,,,,,
P18,,P18-E1,,Fleming et al. 2010,10.1126/science.1191883,2010,,,,,,,,,,,,,,,,,
P19,,P19-E1,,Fleming et al. 2014,10.1093/brain/awu221,2014,,,,,,,,,,,,,,,,,
P20,,P20-E1,,Dijkstra & Fleming 2023,10.1038/s41467-023-37322-1,2023,,,,,,,,,,,,,,,,,
P21,,P21-E1,,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,,,,,,,,,,,,,,,,,
P22,,P22-E1,,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,,,,,,,,,,,,,,,,,
P23,,P23-E1,,"Gray, Bargh & Morsella 2013",10.1007/s00221-013-3566-5,2013,,,,,,,,,,,,,,,,,
P24,,P24-E1,,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,,,,,,,,,,,,,,,,,
P26,,P26-E1,,"Yang, Zald & Blake 2007",10.1037/1528-3542.7.4.882,2007,,,,,,,,,,,,,,,,,
P27,,P27-E1,,Sheth & Pham 2008,10.1016/j.visres.2008.07.013,2008,,,,,,,,,,,,,,,,,
P28,,P28-E1,,Gayet et al. 2016,10.1016/j.cognition.2016.01.009,2016,,,,,,,,,,,,,,,,,
P29,,P29-E1,,Whalen et al. 1998,10.1523/jneurosci.18-01-00411.1998,1998,,,,,,,,,,,,,,,,,
P30,,P30-E1,,Charles et al. 2013,10.1016/j.neuroimage.2013.01.054,2013,,,,,,,,,,,,,,,,,
P31,,P31-E1,,Nieuwenhuis et al. 2001,10.1111/1469-8986.3850752,2001,,,,,,,,,,,,,,,,,
P32,,P32-E1,,Garfinkel et al. 2015,10.1016/j.biopsycho.2014.11.004,2015,,,,,,,,,,,,,,,,,
P33,,P33-E1,,Farb et al. 2013,10.1093/scan/nss066,2013,,,,,,,,,,,,,,,,,
P34,,P34-E1,,Pinto et al. 2017,10.1093/brain/aww358,2017,,,,,,,,,,,,,,,,,
P35,,P35-E1,,Boulakis et al. 2023,10.1523/jneurosci.0696-23.2023,2023,,,,,,,,,,,,,,,,,
P36,,P36-E1,,Kawagoe et al. 2019,10.1002/hbm.24748,2019,,,,,,,,,,,,,,,,,
