doi,title,access_status,source_url,local_text_sha256,retrieved_at,crossref_status,resolved_doi,crossref_checked_at,review_scope
10.1002/hbm.24748,The neural correlates of “mind blanking”: When the mind goes away,full-text,https://pmc.ncbi.nlm.nih.gov/articles/PMC6865483/,0a9ebaf51814ed76023db9c2d08e0e2546e542cbd16aebed01beaf1f7056cc32,2026-09-25T06:23:19.665978+00:00,resolved,10.1002/hbm.24748,2026-09-25T06:36:33.015922+00:00,Relevant domain/method/result passages inspected; main-text access does not certify supplementary-material coverage.
10.1007/s00221-013-3566-5,Neural correlates of the essence of conscious conflict: fMRI of sustaining incompatible intentions,abstract-only,https://pubmed.ncbi.nlm.nih.gov/23727827/,,2026-09-25T06:20:45.715391+00:00,resolved,10.1007/s00221-013-3566-5,2026-09-25T06:36:33.016603+00:00,Abstract-level evidence only; cannot establish all experiment partitions or all citations.
10.1007/s10539-020-09772-0,Unlimited Associative Learning and the origins of consciousness: a primer and some predictions,full-text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7116763/fullTextXML,3fca17973b47524c5a1b2df00810eb47da30e3f7e515b468644ab2c864b5dd96,2026-09-25T06:20:45.715901+00:00,resolved,10.1007/s10539-020-09772-0,2026-09-25T06:36:33.017119+00:00,Relevant domain/method/result passages inspected; main-text access does not certify supplementary-material coverage.
10.1007/s10539-021-09802-5,The learning-consciousness connection,full-text,https://link.springer.com/article/10.1007/s10539-021-09802-5,b03cf600f34ddc1155fe026c32e7a68d7f21a3456f353da22846bd6851f8d167,2026-09-25T06:23:26.923345+00:00,resolved,10.1007/s10539-021-09802-5,2026-09-25T06:36:33.017523+00:00,Relevant domain/method/result passages inspected; main-text access does not certify supplementary-material coverage.
10.1016/j.biopsycho.2014.11.004,Knowing your own heart: Distinguishing interoceptive accuracy from interoceptive awareness,abstract-only,https://pubmed.ncbi.nlm.nih.gov/25451381/,,2026-09-25T06:20:45.717418+00:00,resolved,10.1016/j.biopsycho.2014.11.004,2026-09-25T06:36:33.018130+00:00,Abstract-level evidence only; cannot establish all experiment partitions or all citations.
10.1016/j.cognition.2016.01.009,Visual input signaling threat gains preferential access to awareness in a breaking continuous flash suppression paradigm,abstract-only,https://pubmed.ncbi.nlm.nih.gov/26807500/,,2026-09-25T06:20:45.719170+00:00,resolved,10.1016/j.cognition.2016.01.009,2026-09-25T06:42:18.933377+00:00,Abstract-level evidence only; cannot establish all experiment partitions or all citations.
10.1016/j.concog.2011.09.021,A signal detection theoretic approach for estimating metacognitive sensitivity from confidence ratings,abstract-only,https://pubmed.ncbi.nlm.nih.gov/22071269/,,2026-09-25T06:20:45.719775+00:00,resolved,10.1016/j.concog.2011.09.021,2026-09-25T06:36:33.020389+00:00,Abstract-level evidence only; cannot establish all experiment partitions or all citations.
10.1016/j.cub.2025.10.026,Neural correlates of consciousness in an auditory no-report fMRI study,abstract-only,https://pubmed.ncbi.nlm.nih.gov/41202815/,,2026-09-25T06:20:45.721140+00:00,resolved,10.1016/j.cub.2025.10.026,2026-09-25T06:36:33.021501+00:00,Abstract-level evidence only; cannot establish all experiment partitions or all citations.
10.1016/j.jtbi.2010.06.017,The evolution of associative learning: A factor in the Cambrian explosion,abstract-only,https://pubmed.ncbi.nlm.nih.gov/20558182/,,2026-09-25T06:20:57.355113+00:00,resolved,10.1016/j.jtbi.2010.06.017,2026-09-25T06:36:51.038481+00:00,Abstract-level evidence only; cannot establish all experiment partitions or all citations.
10.1016/j.neuroimage.2013.01.054,Distinct brain mechanisms for conscious versus subliminal error detection,full-text,https://pmc.ncbi.nlm.nih.gov/articles/PMC5635965/,e3a784a8d88313ba6ada220905a60fbe9a6c2701b935128055aefcbbd8b465c1,2026-09-25T06:23:19.717229+00:00,resolved,10.1016/j.neuroimage.2013.01.054,2026-09-25T06:36:51.102898+00:00,Relevant domain/method/result passages inspected; main-text access does not certify supplementary-material coverage.
10.1016/j.neuron.2011.03.018,Experimental and Theoretical Approaches to Conscious Processing,abstract-only,https://pubmed.ncbi.nlm.nih.gov/21521609/,,2026-09-25T06:20:57.455625+00:00,resolved,10.1016/j.neuron.2011.03.018,2026-09-25T06:42:29.125021+00:00,Abstract-level evidence only; cannot establish all experiment partitions or all citations.
10.1016/j.neuron.2020.01.026,Conscious Processing and the Global Neuronal Workspace Hypothesis,full-text,https://pmc.ncbi.nlm.nih.gov/articles/PMC8770991/,fa02f102b8807c96df0ff99917fcb5c722c687e8fdf28737bda36821b1ea9803,2026-09-25T06:23:08.968783+00:00,resolved,10.1016/j.neuron.2020.01.026,2026-09-25T06:36:51.279263+00:00,Relevant domain/method/result passages inspected; main-text access does not certify supplementary-material coverage.
