theory,theory_level,quantity_id,quantity,code,justification,source_label,source_doi,confidence
GNWT,content-level,M1,N of simultaneously competing policies,,,,,
GNWT,content-level,M2,Degree of incompatibility between policies,,,,,
GNWT,content-level,M3,Valence of conscious content,,,,,
GNWT,content-level,M4,Autonomic / interoceptive channel involvement,,,,,
GNWT,content-level,M5,Organism-wide coherence (cortical + autonomic),,,,,
GNWT,content-level,M6,Dimensionality of phenomenal space,,,,,
GNWT,content-level,M7,Precision of metarepresentation,,,,,
GNWT,content-level,M8,Cortical signature of access,,,,,
IIT (3.0/4.0),content-level,M1,N of simultaneously competing policies,,,,,
IIT (3.0/4.0),content-level,M2,Degree of incompatibility between policies,,,,,
IIT (3.0/4.0),content-level,M3,Valence of conscious content,,,,,
IIT (3.0/4.0),content-level,M4,Autonomic / interoceptive channel involvement,,,,,
IIT (3.0/4.0),content-level,M5,Organism-wide coherence (cortical + autonomic),,,,,
IIT (3.0/4.0),content-level,M6,Dimensionality of phenomenal space,,,,,
IIT (3.0/4.0),content-level,M7,Precision of metarepresentation,,,,,
IIT (3.0/4.0),content-level,M8,Cortical signature of access,,,,,
Recurrent processing (RPT),content-level,M1,N of simultaneously competing policies,,,,,
Recurrent processing (RPT),content-level,M2,Degree of incompatibility between policies,,,,,
Recurrent processing (RPT),content-level,M3,Valence of conscious content,,,,,
Recurrent processing (RPT),content-level,M4,Autonomic / interoceptive channel involvement,,,,,
Recurrent processing (RPT),content-level,M5,Organism-wide coherence (cortical + autonomic),,,,,
Recurrent processing (RPT),content-level,M6,Dimensionality of phenomenal space,,,,,
Recurrent processing (RPT),content-level,M7,Precision of metarepresentation,,,,,
Recurrent processing (RPT),content-level,M8,Cortical signature of access,,,,,
HOT / HOSS,content-level,M1,N of simultaneously competing policies,,,,,
HOT / HOSS,content-level,M2,Degree of incompatibility between policies,,,,,
HOT / HOSS,content-level,M3,Valence of conscious content,,,,,
HOT / HOSS,content-level,M4,Autonomic / interoceptive channel involvement,,,,,
HOT / HOSS,content-level,M5,Organism-wide coherence (cortical + autonomic),,,,,
HOT / HOSS,content-level,M6,Dimensionality of phenomenal space,,,,,
HOT / HOSS,content-level,M7,Precision of metarepresentation,,,,,
HOT / HOSS,content-level,M8,Cortical signature of access,,,,,
AST,content-level,M1,N of simultaneously competing policies,,,,,
AST,content-level,M2,Degree of incompatibility between policies,,,,,
AST,content-level,M3,Valence of conscious content,,,,,
AST,content-level,M4,Autonomic / interoceptive channel involvement,,,,,
AST,content-level,M5,Organism-wide coherence (cortical + autonomic),,,,,
AST,content-level,M6,Dimensionality of phenomenal space,,,,,
AST,content-level,M7,Precision of metarepresentation,,,,,
AST,content-level,M8,Cortical signature of access,,,,,
Predictive processing / beast machine,content-level,M1,N of simultaneously competing policies,,,,,
Predictive processing / beast machine,content-level,M2,Degree of incompatibility between policies,,,,,
Predictive processing / beast machine,content-level,M3,Valence of conscious content,,,,,
Predictive processing / beast machine,content-level,M4,Autonomic / interoceptive channel involvement,,,,,
Predictive processing / beast machine,content-level,M5,Organism-wide coherence (cortical + autonomic),,,,,
Predictive processing / beast machine,content-level,M6,Dimensionality of phenomenal space,,,,,
Predictive processing / beast machine,content-level,M7,Precision of metarepresentation,,,,,
Predictive processing / beast machine,content-level,M8,Cortical signature of access,,,,,
Supramodular interaction theory (SIT),content-level,M1,N of simultaneously competing policies,,,,,
Supramodular interaction theory (SIT),content-level,M2,Degree of incompatibility between policies,,,,,
Supramodular interaction theory (SIT),content-level,M3,Valence of conscious content,,,,,
Supramodular interaction theory (SIT),content-level,M4,Autonomic / interoceptive channel involvement,,,,,
Supramodular interaction theory (SIT),content-level,M5,Organism-wide coherence (cortical + autonomic),,,,,
Supramodular interaction theory (SIT),content-level,M6,Dimensionality of phenomenal space,,,,,
Supramodular interaction theory (SIT),content-level,M7,Precision of metarepresentation,,,,,
Supramodular interaction theory (SIT),content-level,M8,Cortical signature of access,,,,,
Passive frame theory,content-level,M1,N of simultaneously competing policies,,,,,
