theory_id,theory,row_class,origin,domain_id,domain,code,polarity,relation,claim_text,source_label,source_doi,source_locus,evidence_status,confidence
AST,AST,trial-level,submitted-v1,M1,number of simultaneously competing action policies,,,,,,,,,
AST,AST,trial-level,submitted-v1,M2,incompatibility of the competing policies,,,,,,,,,
AST,AST,trial-level,submitted-v1,M3,valence,,,,,,,,,
AST,AST,trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,,,,,,,,
AST,AST,trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,,,,,,,,
AST,AST,trial-level,submitted-v1,M7,metacognitive sensitivity,,,,,,,,,
AST,AST,trial-level,submitted-v1,M8,cortical signature of access,,,,,,,,,
AST,AST,trial-level,added-in-revision,M4a,access to interoceptive content as content,,,,,,,,,
AST,AST,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,,,,,,,,
AST,AST,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,,,,,,,,
FM,Feinberg & Mallatt,origin-level,submitted-v1,M1,number of simultaneously competing action policies,,,,,,,,,
FM,Feinberg & Mallatt,origin-level,submitted-v1,M2,incompatibility of the competing policies,,,,,,,,,
FM,Feinberg & Mallatt,origin-level,submitted-v1,M3,valence,,,,,,,,,
FM,Feinberg & Mallatt,origin-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,,,,,,,,
FM,Feinberg & Mallatt,origin-level,submitted-v1,M6,dimensionality of phenomenal structure,,,,,,,,,
FM,Feinberg & Mallatt,origin-level,submitted-v1,M7,metacognitive sensitivity,,,,,,,,,
FM,Feinberg & Mallatt,origin-level,submitted-v1,M8,cortical signature of access,,,,,,,,,
FM,Feinberg & Mallatt,origin-level,added-in-revision,M4a,access to interoceptive content as content,,,,,,,,,
FM,Feinberg & Mallatt,origin-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,,,,,,,,
FM,Feinberg & Mallatt,origin-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,,,,,,,,
GNWT,GNWT,trial-level,submitted-v1,M1,number of simultaneously competing action policies,,,,,,,,,
GNWT,GNWT,trial-level,submitted-v1,M2,incompatibility of the competing policies,,,,,,,,,
GNWT,GNWT,trial-level,submitted-v1,M3,valence,,,,,,,,,
GNWT,GNWT,trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,,,,,,,,
GNWT,GNWT,trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,,,,,,,,
GNWT,GNWT,trial-level,submitted-v1,M7,metacognitive sensitivity,,,,,,,,,
GNWT,GNWT,trial-level,submitted-v1,M8,cortical signature of access,,,,,,,,,
GNWT,GNWT,trial-level,added-in-revision,M4a,access to interoceptive content as content,,,,,,,,,
GNWT,GNWT,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,,,,,,,,
GNWT,GNWT,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,,,,,,,,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M1,number of simultaneously competing action policies,,,,,,,,,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M2,incompatibility of the competing policies,,,,,,,,,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M3,valence,,,,,,,,,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,,,,,,,,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,,,,,,,,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M7,metacognitive sensitivity,,,,,,,,,
HOT,Higher-order theory (HOT / HOROR),trial-level,submitted-v1,M8,cortical signature of access,,,,,,,,,
HOT,Higher-order theory (HOT / HOROR),trial-level,added-in-revision,M4a,access to interoceptive content as content,,,,,,,,,
HOT,Higher-order theory (HOT / HOROR),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,,,,,,,,
HOT,Higher-order theory (HOT / HOROR),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,,,,,,,,
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M1,number of simultaneously competing action policies,,,,,,,,,
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M2,incompatibility of the competing policies,,,,,,,,,
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M3,valence,,,,,,,,,
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,,,,,,,,
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,,,,,,,,
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M7,metacognitive sensitivity,,,,,,,,,
HOSS,Higher-order state space (HOSS),trial-level,submitted-v1,M8,cortical signature of access,,,,,,,,,
HOSS,Higher-order state space (HOSS),trial-level,added-in-revision,M4a,access to interoceptive content as content,,,,,,,,,
HOSS,Higher-order state space (HOSS),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,,,,,,,,
HOSS,Higher-order state space (HOSS),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,,,,,,,,
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M1,number of simultaneously competing action policies,,,,,,,,,
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M2,incompatibility of the competing policies,,,,,,,,,
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M3,valence,,,,,,,,,
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,,,,,,,,
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,,,,,,,,
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M7,metacognitive sensitivity,,,,,,,,,
IIT,IIT (3.0/4.0),trial-level,submitted-v1,M8,cortical signature of access,,,,,,,,,
IIT,IIT (3.0/4.0),trial-level,added-in-revision,M4a,access to interoceptive content as content,,,,,,,,,
IIT,IIT (3.0/4.0),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,,,,,,,,
IIT,IIT (3.0/4.0),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,,,,,,,,
NSF,Neural subjective frame,trial-level,added-in-revision,M1,number of simultaneously competing action policies,,,,,,,,,
NSF,Neural subjective frame,trial-level,added-in-revision,M2,incompatibility of the competing policies,,,,,,,,,
NSF,Neural subjective frame,trial-level,added-in-revision,M3,valence,,,,,,,,,
NSF,Neural subjective frame,trial-level,added-in-revision,M5,organism-wide cortical–autonomic coherence,,,,,,,,,
NSF,Neural subjective frame,trial-level,added-in-revision,M6,dimensionality of phenomenal structure,,,,,,,,,
NSF,Neural subjective frame,trial-level,added-in-revision,M7,metacognitive sensitivity,,,,,,,,,
NSF,Neural subjective frame,trial-level,added-in-revision,M8,cortical signature of access,,,,,,,,,
NSF,Neural subjective frame,trial-level,added-in-revision,M4a,access to interoceptive content as content,,,,,,,,,
NSF,Neural subjective frame,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,,,,,,,,
NSF,Neural subjective frame,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,,,,,,,,
PFT,Passive frame theory,trial-level,added-in-revision,M1,number of simultaneously competing action policies,,,,,,,,,
PFT,Passive frame theory,trial-level,added-in-revision,M2,incompatibility of the competing policies,,,,,,,,,
PFT,Passive frame theory,trial-level,added-in-revision,M3,valence,,,,,,,,,
PFT,Passive frame theory,trial-level,added-in-revision,M5,organism-wide cortical–autonomic coherence,,,,,,,,,
PFT,Passive frame theory,trial-level,added-in-revision,M6,dimensionality of phenomenal structure,,,,,,,,,
PFT,Passive frame theory,trial-level,added-in-revision,M7,metacognitive sensitivity,,,,,,,,,
PFT,Passive frame theory,trial-level,added-in-revision,M8,cortical signature of access,,,,,,,,,
PFT,Passive frame theory,trial-level,added-in-revision,M4a,access to interoceptive content as content,,,,,,,,,
PFT,Passive frame theory,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,,,,,,,,
PFT,Passive frame theory,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,,,,,,,,
PP,Predictive processing / beast machine,trial-level,submitted-v1,M1,number of simultaneously competing action policies,,,,,,,,,
PP,Predictive processing / beast machine,trial-level,submitted-v1,M2,incompatibility of the competing policies,,,,,,,,,
PP,Predictive processing / beast machine,trial-level,submitted-v1,M3,valence,,,,,,,,,
PP,Predictive processing / beast machine,trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,,,,,,,,
PP,Predictive processing / beast machine,trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,,,,,,,,
PP,Predictive processing / beast machine,trial-level,submitted-v1,M7,metacognitive sensitivity,,,,,,,,,
PP,Predictive processing / beast machine,trial-level,submitted-v1,M8,cortical signature of access,,,,,,,,,
PP,Predictive processing / beast machine,trial-level,added-in-revision,M4a,access to interoceptive content as content,,,,,,,,,
PP,Predictive processing / beast machine,trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,,,,,,,,
PP,Predictive processing / beast machine,trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,,,,,,,,
RPT,Recurrent processing (RPT),trial-level,submitted-v1,M1,number of simultaneously competing action policies,,,,,,,,,
RPT,Recurrent processing (RPT),trial-level,submitted-v1,M2,incompatibility of the competing policies,,,,,,,,,
RPT,Recurrent processing (RPT),trial-level,submitted-v1,M3,valence,,,,,,,,,
RPT,Recurrent processing (RPT),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,,,,,,,,
RPT,Recurrent processing (RPT),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,,,,,,,,
RPT,Recurrent processing (RPT),trial-level,submitted-v1,M7,metacognitive sensitivity,,,,,,,,,
RPT,Recurrent processing (RPT),trial-level,submitted-v1,M8,cortical signature of access,,,,,,,,,
RPT,Recurrent processing (RPT),trial-level,added-in-revision,M4a,access to interoceptive content as content,,,,,,,,,
RPT,Recurrent processing (RPT),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,,,,,,,,
RPT,Recurrent processing (RPT),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,,,,,,,,
SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M1,number of simultaneously competing action policies,,,,,,,,,
SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M2,incompatibility of the competing policies,,,,,,,,,
SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M3,valence,,,,,,,,,
SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,,,,,,,,
SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M6,dimensionality of phenomenal structure,,,,,,,,,
SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M7,metacognitive sensitivity,,,,,,,,,
SIT,Supramodular interaction theory (SIT),trial-level,submitted-v1,M8,cortical signature of access,,,,,,,,,
SIT,Supramodular interaction theory (SIT),trial-level,added-in-revision,M4a,access to interoceptive content as content,,,,,,,,,
SIT,Supramodular interaction theory (SIT),trial-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,,,,,,,,
SIT,Supramodular interaction theory (SIT),trial-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,,,,,,,,
UAL,UAL,origin-level,submitted-v1,M1,number of simultaneously competing action policies,,,,,,,,,
UAL,UAL,origin-level,submitted-v1,M2,incompatibility of the competing policies,,,,,,,,,
UAL,UAL,origin-level,submitted-v1,M3,valence,,,,,,,,,
UAL,UAL,origin-level,submitted-v1,M5,organism-wide cortical–autonomic coherence,,,,,,,,,
UAL,UAL,origin-level,submitted-v1,M6,dimensionality of phenomenal structure,,,,,,,,,
UAL,UAL,origin-level,submitted-v1,M7,metacognitive sensitivity,,,,,,,,,
UAL,UAL,origin-level,submitted-v1,M8,cortical signature of access,,,,,,,,,
UAL,UAL,origin-level,added-in-revision,M4a,access to interoceptive content as content,,,,,,,,,
UAL,UAL,origin-level,added-in-revision,M4b,visceral modulation of access to exteroceptive content,,,,,,,,,
UAL,UAL,origin-level,added-in-revision,M4c,conscious involvement in purely autonomic conflict,,,,,,,,,
