citation_label,doi,content,theory_addressed,justification
Cogitate Consortium et al. 2025,10.1038/s41586-025-08888-1,,,
Melloni et al. 2023,10.1371/journal.pone.0268577,,,
"Del Cul, Baillet & Dehaene 2007",10.1371/journal.pbio.0050260,,,
Dehaene et al. 2001,10.1038/89551,,,
Dehaene et al. 2006,10.1016/j.tics.2006.03.007,,,
Salti et al. 2015,10.7554/elife.05652,,,
"Sergent, Baillet & Dehaene 2005",10.1038/nn1549,,,
Sergent et al. 2021,10.1038/s41467-021-21393-z,,,
"Lumer, Friston & Rees 1998",10.1126/science.280.5371.1930,,,
Frässle et al. 2014,10.1523/jneurosci.4403-13.2014,,,
Tsuchiya & Koch 2005,10.1038/nn1500,,,
Pitts et al. 2014,10.3389/fpsyg.2014.01078,,,
Kronemer et al. 2022,10.1038/s41467-022-35117-4,,,
Dellert et al. 2025,10.1016/j.cub.2025.10.026,,,
Boly et al. 2017,10.1523/jneurosci.3218-16.2017,,,
Maniscalco & Lau 2012,10.1016/j.concog.2011.09.021,,,
Rounis et al. 2010,10.1080/17588921003632529,,,
Fleming et al. 2010,10.1126/science.1191883,,,
Fleming et al. 2014,10.1093/brain/awu221,,,
Dijkstra & Fleming 2023,10.1038/s41467-023-37322-1,,,
Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,,,
"Morsella, Gray & Krieger 2009",10.1037/a0017121,,,
"Gray, Bargh & Morsella 2013",10.1007/s00221-013-3566-5,,,
Morsella et al. 2009b,10.3758/app.71.8.1807,,,
"Poehlman, Jantz & Morsella 2012",10.3389/fpsyg.2012.00369,,,
"Yang, Zald & Blake 2007",10.1037/1528-3542.7.4.882,,,
Sheth & Pham 2008,10.1016/j.visres.2008.07.013,,,
Gayet et al. 2016,10.1016/j.cognition.2016.01.009,,,
Whalen et al. 1998,10.1523/jneurosci.18-01-00411.1998,,,
Charles et al. 2013,10.1016/j.neuroimage.2013.01.054,,,
Nieuwenhuis et al. 2001,10.1111/1469-8986.3850752,,,
Garfinkel et al. 2015,10.1016/j.biopsycho.2014.11.004,,,
Farb et al. 2013,10.1093/scan/nss066,,,
Pinto et al. 2017,10.1093/brain/aww358,,,
Boulakis et al. 2023,10.1523/jneurosci.0696-23.2023,,,
Kawagoe et al. 2019,10.1002/hbm.24748,,,
