publication_id,study_family_id,experiment_id,sample_id,citation_label,doi,year,experiment_label,paradigm,modality,affective_status,manipulation,measured_outcome,report_type,theory_attribution_by_authors,by_authors_locus,contested_inclusion,contested_reason
P01,F01,P01-E1,P01-E1-S1;P01-E1-S2;P01-E1-S3,Cogitate Consortium et al. 2025,10.1038/s41586-025-08888-1,2025,Experiment 1 of the preregistered protocol (three modality arms),"Suprathreshold viewing of faces/objects/letters/false fonts for 0.5/1.0/1.5 s, target detection; fMRI, MEG, iEEG",,,,,,,,,
P03,F03,P03-E1,P03-E1-S1,"Del Cul, Baillet & Dehaene 2007",10.1371/journal.pbio.0050260,2007,Single experiment,Backward masking of digits at variable SOA; EEG,,,,,,,,,
P04,F04,P04-E1,P04-E1-S1,Dehaene et al. 2001,10.1038/89551,2001,fMRI and ERP study of masked words (partition into experiments not verifiable from abstract),"Masked vs unmasked word presentation, repetition priming; fMRI and ERP",,,,,,,,,
P06,F06,P06-E1,P06-E1-S1,Salti et al. 2015,10.7554/elife.05652,2015,Single experiment,Threshold detection of a faint square with location report; EEG/MEG decoding,,,,,,,,,
P07,F07,P07-E1,P07-E1-S1,"Sergent, Baillet & Dehaene 2005",10.1038/nn1549,2005,Single ERP experiment (per abstract),Attentional blink with visibility ratings; ERP,,,,,,,,,
P08,F08,P08-E1,P08-E1-S1,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,Main experiment (active and passive sessions),Near-threshold vowels in noise; active (report) and passive (no-report) sessions; EEG,,,,,,,,,
P08,F08,P08-E2,P08-E2-S1,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,Control experiment 1: passive session only (naïve participants),Near-threshold vowels in noise; active (report) and passive (no-report) sessions; EEG,,,,,,,,,
P08,F08,P08-E3,P08-E3-S1,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,Control experiment 2: vowels replaced by simple tones,Near-threshold vowels in noise; active (report) and passive (no-report) sessions; EEG,,,,,,,,,
P09,F09,P09-E1,P09-E1-S1,"Lumer, Friston & Rees 1998",10.1126/science.280.5371.1930,1998,Single fMRI experiment (per abstract),Binocular rivalry (face vs grating) vs replay; fMRI,,,,,,,,,
P10,F10,P10-E1,P10-E1-S1,Frässle et al. 2014,10.1523/jneurosci.4403-13.2014,2014,Single fMRI experiment with active and passive conditions (per abstract),Binocular rivalry with OKN/pupil as objective readout; active-report vs passive (no-report); fMRI,,,,,,,,,
P11,F11,P11-E1,P11-E1-S1,Tsuchiya & Koch 2005,10.1038/nn1500,2005,Psychophysical experiments (number not verifiable from abstract),Continuous flash suppression; negative afterimage strength,,,,,,,,,
P12,F12,P12-E1,P12-E1-S1,Pitts et al. 2014,10.3389/fpsyg.2014.01078,2014,EEG experiment (a separate 12-participant behavioural calibration study set the SOAs; not counted as an access experiment),"Inattentional blindness with task-irrelevant textures; masking SOA; EEG (no-report during task, awareness assessed post hoc)",,,,,,,,,
P13,F13,P13-E1,P13-E1-S1;P13-E1-S2;P13-E1-S3,Kronemer et al. 2022,10.1038/s41467-022-35117-4,2022,Report Paradigm,"Visual detection of faint discs at threshold; Report and Report + No-Report paradigms; hdEEG, fMRI, pupillometry, thalamic iEEG",,,,,,,,,
P13,F13,P13-E2,P13-E2-S1;P13-E2-S2,Kronemer et al. 2022,10.1038/s41467-022-35117-4,2022,Report + No-Report Paradigm (eye-metric classification of perceived vs not perceived),"Visual detection of faint discs at threshold; Report and Report + No-Report paradigms; hdEEG, fMRI, pupillometry, thalamic iEEG",,,,,,,,,
P14,F14,P14-E1,P14-E1-S1,Dellert et al. 2025,10.1016/j.cub.2025.10.026,2025,Single fMRI experiment (per abstract),No-report inattentional deafness; aware vs unaware groups; fMRI,,,,,,,,,
P16,F16,P16-E1,P16-E1-S1,Maniscalco & Lau 2012,10.1016/j.concog.2011.09.021,2012,Single experiment accompanying the method,2-interval forced-choice visual task with confidence ratings; meta-d′ estimation,,,,,,,,,
P17,F17,P17-E1,P17-E1-S1,Rounis et al. 2010,10.1080/17588921003632529,2010,Single experiment (per abstract),Bilateral theta-burst TMS to DLPFC; visual discrimination with visibility ratings,,,,,,,,,
P18,F18,P18-E1,P18-E1-S1,Fleming et al. 2010,10.1126/science.1191883,2010,Single experiment,Perceptual 2-IFC with confidence; VBM/DTI,,,,,,,,,
P19,F19,P19-E1,P19-E1-S1;P19-E1-S2;P19-E1-S3,Fleming et al. 2014,10.1093/brain/awu221,2014,Single experiment (three groups),Perceptual and memory tasks with confidence in aPFC lesion patients vs comparison groups,,,,,,,,,
P20,F20,P20-E1,P20-E1-S1,Dijkstra & Fleming 2023,10.1038/s41467-023-37322-1,2023,"Experiment 1 (online, one trial per participant)",One-trial-per-participant imagery/perception judgements; reality threshold model (fMRI re-analysis of an earlier data set not counted as a new experiment),,,,,,,,,
P20,F20,P20-E2,P20-E2-S1,Dijkstra & Fleming 2023,10.1038/s41467-023-37322-1,2023,"Experiment 2 (online, one trial per participant)",One-trial-per-participant imagery/perception judgements; reality threshold model (fMRI re-analysis of an earlier data set not counted as a new experiment),,,,,,,,,
P21,F21,P21-E1,P21-E1-S1,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,Experiments 1–6 (cue-awareness and contingency-awareness manipulations; per-experiment partition not verifiable from abstract),Cued attention tasks with awareness of cue or of cue–target contingency manipulated (eight experiments per abstract),,,,,,,,,
P21,F21,P21-E2,P21-E2-S1,Wilterson et al. 2020,10.1016/j.pneurobio.2020.101844,2020,Experiments 7–8 (implicit attention shift generalisation; per abstract),Cued attention tasks with awareness of cue or of cue–target contingency manipulated (eight experiments per abstract),,,,,,,,,
P22,F22,P22-E1,P22-E1-S1,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Study 1: arm movements (reach vs wiggle),"Sustaining identical, compatible or incompatible intentions without movement; introspective ratings of ""activity""",,,,,,,,,
P22,F22,P22-E2,P22-E2-S1,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Study 2: finger movements,"Sustaining identical, compatible or incompatible intentions without movement; introspective ratings of ""activity""",,,,,,,,,
P22,F22,P22-E3,P22-E3-S1,"Morsella, Gray & Krieger 2009",10.1037/a0017121,2009,Control study: smooth-muscle (pupillary light reflex) conflict vs no conflict,"Sustaining identical, compatible or incompatible intentions without movement; introspective ratings of ""activity""",,,,,,,,,
P23,F23,P23-E1,P23-E1-S1,"Gray, Bargh & Morsella 2013",10.1007/s00221-013-3566-5,2013,Single fMRI experiment,Sustaining compatible vs incompatible finger intentions and Stroop-like task during fMRI,,,,,,,,,
P24,F24,P24-E1,P24-E1-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,"Experiment 1 (subvocal Stroop, motionless)",Vocal and subvocal Stroop; trial-level introspection of urge to err,,,,,,,,,
P24,F24,P24-E2,P24-E2-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,"Experiment 2 (vocal vs subvocal, within-participant)",Vocal and subvocal Stroop; trial-level introspection of urge to err,,,,,,,,,
P24,F24,P24-E3,P24-E3-S1,Morsella et al. 2009b,10.3758/app.71.8.1807,2009,"Experiment 3 (difficulty, competition, control ratings)",Vocal and subvocal Stroop; trial-level introspection of urge to err,,,,,,,,,
P26,F26,P26-E1,P26-E1-S1,"Yang, Zald & Blake 2007",10.1037/1528-3542.7.4.882,2007,"b-CFS experiments (abstract lists upright, inverted and eyes-only stimulus sets; partition into experiments not verifiable from abstract)","Breaking continuous flash suppression; fearful vs neutral vs happy faces, upright, inverted, eyes-only",,,,,,,,,
P27,F27,P27-E1,P27-E1-S1,Sheth & Pham 2008,10.1016/j.visres.2008.07.013,2008,Rivalry dominance experiment(s) (partition not verifiable from abstract),Binocular rivalry with IAPS-type natural images varied in arousal and valence,,,,,,,,,
P28,F28,P28-E1,P28-E1-S1,Gayet et al. 2016,10.1016/j.cognition.2016.01.009,2016,Conditioning + b-CFS experiment(s) (partition not verifiable from abstract),Fear conditioning of colour annuli followed by breaking CFS,,,,,,,,,
P29,F29,P29-E1,P29-E1-S1,Whalen et al. 1998,10.1523/jneurosci.18-01-00411.1998,1998,Single fMRI experiment,Backward-masked fearful vs happy faces; amygdala fMRI,,,,,,,,,
P30,F30,P30-E1,P30-E1-S1,Charles et al. 2013,10.1016/j.neuroimage.2013.01.054,2013,Experiment 1 (high time pressure),Masked digit comparison under time pressure; conscious vs subliminal error detection; EEG/MEG,,,,,,,,,
P30,F30,P30-E2,P30-E2-S1,Charles et al. 2013,10.1016/j.neuroimage.2013.01.054,2013,"Experiment 2 (reduced time pressure, replication)",Masked digit comparison under time pressure; conscious vs subliminal error detection; EEG/MEG,,,,,,,,,
P31,F31,P31-E1,P31-E1-S1,Nieuwenhuis et al. 2001,10.1111/1469-8986.3850752,2001,Single ERP experiment (per abstract),"Antisaccade task; perceived vs unperceived saccade errors; ERP (Ne/ERN, Pe)",,,,,,,,,
P32,F32,P32-E1,P32-E1-S1,Garfinkel et al. 2015,10.1016/j.biopsycho.2014.11.004,2015,Single normative study,Heartbeat tracking and detection; confidence ratings; questionnaires,,,,,,,,,
P33,F33,P33-E1,P33-E1-S1,Farb et al. 2013,10.1093/scan/nss066,2013,Single fMRI experiment (two groups),Interoceptive (respiratory) attention vs visual tasks; MBSR graduates vs waitlist; fMRI,,,,,,,,,
P34,F34,P34-E1,P34-E1-S1;P34-E1-S2,Pinto et al. 2017,10.1093/brain/aww358,2017,Battery of tasks in two patients (partition into experiments not verifiable from abstract),"Split-brain patients: cross-hemifield comparison, detection, localisation, identification with confidence ratings",,,,,,,,,
P35,F35,P35-E1,P35-E1-S1,Boulakis et al. 2023,10.1523/jneurosci.0696-23.2023,2023,Single fMRI experiment,Experience sampling of uninduced mind blanking; fMRI,,,,,,,,,
P36,F36,P36-E1,P36-E1-S1,Kawagoe et al. 2019,10.1002/hbm.24748,2019,Single fMRI experiment (per abstract),Instructed mind blanking vs mind wandering; fMRI,,,,,,,,,
