effect,assumption,dz,method,alpha,n_participants,trials_per_cell,power,n_sims
main,small,0.25,simulation_two_stage,0.05,20,16,0.184,2000
main,small,0.25,simulation_two_stage,0.05,30,16,0.2595,2000
main,small,0.25,simulation_two_stage,0.05,40,16,0.34,2000
main,small,0.25,simulation_two_stage,0.05,50,16,0.4095,2000
main,small,0.25,simulation_two_stage,0.05,60,16,0.4765,2000
main,small,0.25,simulation_two_stage,0.05,70,16,0.502,2000
main,small,0.25,simulation_two_stage,0.05,80,16,0.5905,2000
main,small,0.25,simulation_two_stage,0.05,90,16,0.6105,2000
main,small,0.25,simulation_two_stage,0.05,100,16,0.6845,2000
main,small,0.25,simulation_two_stage,0.05,110,16,0.729,2000
main,small,0.25,simulation_two_stage,0.05,120,16,0.765,2000
main,small,0.25,simulation_two_stage,0.05,130,16,0.796,2000
main,small,0.25,simulation_two_stage,0.05,140,16,0.8245,2000
main,small,0.25,simulation_two_stage,0.05,150,16,0.835,2000
main,small,0.25,simulation_two_stage,0.05,160,16,0.87,2000
main,small,0.25,simulation_two_stage,0.05,170,16,0.8825,2000
main,small,0.25,simulation_two_stage,0.05,180,16,0.912,2000
main,small,0.25,simulation_two_stage,0.05,190,16,0.918,2000
main,small,0.25,simulation_two_stage,0.05,200,16,0.933,2000
main,small,0.25,simulation_two_stage,0.05,210,16,0.932,2000
main,small,0.25,simulation_two_stage,0.05,220,16,0.954,2000
main,small,0.25,simulation_two_stage,0.05,230,16,0.9505,2000
main,small,0.25,simulation_two_stage,0.05,240,16,0.9565,2000
main,small,0.25,simulation_two_stage,0.05,250,16,0.966,2000
main,small,0.25,simulation_two_stage,0.05,260,16,0.967,2000
main,small,0.25,simulation_two_stage,0.05,270,16,0.9775,2000
main,small,0.25,simulation_two_stage,0.05,20,32,0.1955,2000
main,small,0.25,simulation_two_stage,0.05,30,32,0.255,2000
main,small,0.25,simulation_two_stage,0.05,40,32,0.334,2000
main,small,0.25,simulation_two_stage,0.05,50,32,0.409,2000
main,small,0.25,simulation_two_stage,0.05,60,32,0.4775,2000
main,small,0.25,simulation_two_stage,0.05,70,32,0.5265,2000
main,small,0.25,simulation_two_stage,0.05,80,32,0.5815,2000
main,small,0.25,simulation_two_stage,0.05,90,32,0.652,2000
main,small,0.25,simulation_two_stage,0.05,100,32,0.6975,2000
main,small,0.25,simulation_two_stage,0.05,110,32,0.7375,2000
main,small,0.25,simulation_two_stage,0.05,120,32,0.7765,2000
main,small,0.25,simulation_two_stage,0.05,130,32,0.8,2000
main,small,0.25,simulation_two_stage,0.05,140,32,0.8335,2000
main,small,0.25,simulation_two_stage,0.05,150,32,0.858,2000
main,small,0.25,simulation_two_stage,0.05,160,32,0.879,2000
main,small,0.25,simulation_two_stage,0.05,170,32,0.9095,2000
main,small,0.25,simulation_two_stage,0.05,180,32,0.906,2000
main,small,0.25,simulation_two_stage,0.05,190,32,0.925,2000
main,small,0.25,simulation_two_stage,0.05,200,32,0.9255,2000
main,small,0.25,simulation_two_stage,0.05,210,32,0.9465,2000
main,small,0.25,simulation_two_stage,0.05,220,32,0.9575,2000
main,small,0.25,simulation_two_stage,0.05,230,32,0.96,2000
main,small,0.25,simulation_two_stage,0.05,240,32,0.9735,2000
main,small,0.25,simulation_two_stage,0.05,20,48,0.18,2000
main,small,0.25,simulation_two_stage,0.05,30,48,0.2615,2000
main,small,0.25,simulation_two_stage,0.05,40,48,0.3385,2000
main,small,0.25,simulation_two_stage,0.05,50,48,0.4225,2000
main,small,0.25,simulation_two_stage,0.05,60,48,0.477,2000
main,small,0.25,simulation_two_stage,0.05,70,48,0.542,2000
main,small,0.25,simulation_two_stage,0.05,80,48,0.6105,2000
main,small,0.25,simulation_two_stage,0.05,90,48,0.6475,2000
main,small,0.25,simulation_two_stage,0.05,100,48,0.7005,2000
main,small,0.25,simulation_two_stage,0.05,110,48,0.755,2000
main,small,0.25,simulation_two_stage,0.05,120,48,0.769,2000
main,small,0.25,simulation_two_stage,0.05,130,48,0.8005,2000
main,small,0.25,simulation_two_stage,0.05,140,48,0.8325,2000
main,small,0.25,simulation_two_stage,0.05,150,48,0.864,2000
main,small,0.25,simulation_two_stage,0.05,160,48,0.8695,2000
main,small,0.25,simulation_two_stage,0.05,170,48,0.912,2000
main,small,0.25,simulation_two_stage,0.05,180,48,0.923,2000
main,small,0.25,simulation_two_stage,0.05,190,48,0.9235,2000
main,small,0.25,simulation_two_stage,0.05,200,48,0.9465,2000
main,small,0.25,simulation_two_stage,0.05,210,48,0.946,2000
