effect,assumption,dz,method,alpha,n_participants,trials_per_cell,power,n_sims
main,small,0.25,analytic_paired_t,0.05,128,,0.8,
main,small,0.25,analytic_paired_t,0.05,171,,0.9,
main,medium,0.4,analytic_paired_t,0.05,52,,0.8,
main,medium,0.4,analytic_paired_t,0.05,68,,0.9,
int,small,0.2,analytic_paired_t,0.05,199,,0.8,
int,small,0.2,analytic_paired_t,0.05,265,,0.9,
int,medium,0.3,analytic_paired_t,0.05,90,,0.8,
int,medium,0.3,analytic_paired_t,0.05,119,,0.9,
main,small,0.25,simulation_two_stage_N90,0.05,180,16.0,0.912,2000.0
main,small,0.25,simulation_two_stage_N90,0.05,170,32.0,0.9095,2000.0
main,small,0.25,simulation_two_stage_N90,0.05,170,48.0,0.912,2000.0
main,small,0.25,simulation_two_stage_N90,0.05,180,64.0,0.9155,2000.0
main,small,0.25,simulation_two_stage_N90,0.05,180,96.0,0.9165,2000.0
main,medium,0.4,simulation_two_stage_N90,0.05,80,16.0,0.9205,2000.0
main,medium,0.4,simulation_two_stage_N90,0.05,80,32.0,0.933,2000.0
main,medium,0.4,simulation_two_stage_N90,0.05,80,48.0,0.941,2000.0
main,medium,0.4,simulation_two_stage_N90,0.05,70,64.0,0.914,2000.0
main,medium,0.4,simulation_two_stage_N90,0.05,70,96.0,0.9195,2000.0
int,small,0.2,simulation_two_stage_N90,0.05,290,16.0,0.907,2000.0
int,small,0.2,simulation_two_stage_N90,0.05,280,32.0,0.9275,2000.0
int,small,0.2,simulation_two_stage_N90,0.05,260,48.0,0.901,2000.0
int,small,0.2,simulation_two_stage_N90,0.05,280,64.0,0.9275,2000.0
int,small,0.2,simulation_two_stage_N90,0.05,260,96.0,0.9095,2000.0
int,medium,0.3,simulation_two_stage_N90,0.05,140,16.0,0.908,2000.0
int,medium,0.3,simulation_two_stage_N90,0.05,130,32.0,0.904,2000.0
int,medium,0.3,simulation_two_stage_N90,0.05,130,48.0,0.9195,2000.0
int,medium,0.3,simulation_two_stage_N90,0.05,120,64.0,0.9035,2000.0
int,medium,0.3,simulation_two_stage_N90,0.05,120,96.0,0.905,2000.0
main,small,0.25,simulation_two_stage,0.05,20,64.0,0.1835,2000.0
main,small,0.25,simulation_two_stage,0.05,30,64.0,0.259,2000.0
main,small,0.25,simulation_two_stage,0.05,40,64.0,0.3325,2000.0
main,small,0.25,simulation_two_stage,0.05,50,64.0,0.414,2000.0
main,small,0.25,simulation_two_stage,0.05,60,64.0,0.515,2000.0
main,small,0.25,simulation_two_stage,0.05,70,64.0,0.543,2000.0
main,small,0.25,simulation_two_stage,0.05,80,64.0,0.5965,2000.0
main,small,0.25,simulation_two_stage,0.05,90,64.0,0.6535,2000.0
main,small,0.25,simulation_two_stage,0.05,100,64.0,0.694,2000.0
main,small,0.25,simulation_two_stage,0.05,110,64.0,0.7305,2000.0
main,small,0.25,simulation_two_stage,0.05,120,64.0,0.7665,2000.0
main,small,0.25,simulation_two_stage,0.05,130,64.0,0.794,2000.0
main,small,0.25,simulation_two_stage,0.05,140,64.0,0.8405,2000.0
main,small,0.25,simulation_two_stage,0.05,150,64.0,0.8545,2000.0
main,small,0.25,simulation_two_stage,0.05,160,64.0,0.8715,2000.0
main,small,0.25,simulation_two_stage,0.05,170,64.0,0.8965,2000.0
main,small,0.25,simulation_two_stage,0.05,180,64.0,0.9155,2000.0
main,small,0.25,simulation_two_stage,0.05,190,64.0,0.926,2000.0
main,small,0.25,simulation_two_stage,0.05,200,64.0,0.947,2000.0
main,small,0.25,simulation_two_stage,0.05,210,64.0,0.9525,2000.0
main,small,0.25,simulation_two_stage,0.05,220,64.0,0.9595,2000.0
main,small,0.25,simulation_two_stage,0.05,230,64.0,0.965,2000.0
main,small,0.25,simulation_two_stage,0.05,240,64.0,0.9765,2000.0
main,medium,0.4,simulation_two_stage,0.05,20,64.0,0.384,2000.0
main,medium,0.4,simulation_two_stage,0.05,30,64.0,0.5685,2000.0
main,medium,0.4,simulation_two_stage,0.05,40,64.0,0.688,2000.0
main,medium,0.4,simulation_two_stage,0.05,50,64.0,0.794,2000.0
main,medium,0.4,simulation_two_stage,0.05,60,64.0,0.87,2000.0
main,medium,0.4,simulation_two_stage,0.05,70,64.0,0.914,2000.0
main,medium,0.4,simulation_two_stage,0.05,80,64.0,0.9395,2000.0
main,medium,0.4,simulation_two_stage,0.05,90,64.0,0.966,2000.0
main,medium,0.4,simulation_two_stage,0.05,100,64.0,0.976,2000.0
int,small,0.2,simulation_two_stage,0.05,20,64.0,0.1375,2000.0
int,small,0.2,simulation_two_stage,0.05,30,64.0,0.1745,2000.0
int,small,0.2,simulation_two_stage,0.05,40,64.0,0.2405,2000.0
int,small,0.2,simulation_two_stage,0.05,50,64.0,0.2695,2000.0
int,small,0.2,simulation_two_stage,0.05,60,64.0,0.333,2000.0
int,small,0.2,simulation_two_stage,0.05,70,64.0,0.38,2000.0
int,small,0.2,simulation_two_stage,0.05,80,64.0,0.441,2000.0
int,small,0.2,simulation_two_stage,0.05,90,64.0,0.4715,2000.0
