experiment_id,publication_id,citation_label,current_unit_type,proposed_unit_type,n_experiments_in_publication,n_participants_analysed,modality,affective_status,effector_type,manipulation,measured_outcome,report_type,theory_attribution_by_authors,by_authors_locus,contested_inclusion,contested_reason,quote,note,proposed_new_row
P04-E1,P04,Dehaene et al. 2001,publication-as-one (partition unverified),"experiment (Experiment 1; two arms: fMRI n=15, ERP n=12)",2,fMRI arm 15 (T scale 14 d.f.); ERP arm 12; behavioural visibility tests pooled over 27 (t26). Recruited total across the publication: 37. No exclusions reported.,visual,neutral,,"Masking of words (masked vs visible words, each against matched blanks); seen vs unseen at identical word content","fMRI activation (masked words vs masked blanks; visible vs masked interaction); ERP time course; behavioural detection, naming, recognition and forced-choice",report (detection/naming tests before and after imaging; forced-choice; no trial-wise report during imaging),"GNWT (by citation only: Discussion cites refs 35 = Dehaene & Naccache 2001 'workspace framework' and 45 = Dehaene, Kerszberg & Changeux 1998 'global workspace' as the theories the result is consistent with; the label 'workspace' does not appear in the body text). First coder to decide whether citation-naming meets I2; otherwise 'none named'.","Discussion, final paragraph: 'This converging evidence, although still inconclusive, is consistent with theories that relate conscious perception to the top-down amplification of sensory information through synchronous co-activation of distant regions including prefrontal cortex35,44,45.' Also Discussion: '...failure of amplification of the short-lived bottom-up activation by top-down re-entrant signals34,35.'",False,,"Methods, Participants: 'Thirty-seven right-handed French students 19 to 34 years old gave written informed consent to participate in the study (average, 23.3 years; fMRI experiment 1, 3 men and 12 women; ERP experiment 1, 6 men and 6 women; fMRI experiment 2, 3 men and 7 women).' Results: '99.3% of masked words were never detected and 99.95% could not be named.' Methods: 'For each experiment, a random-effect group analysis was performed'.","Partition change: publication reports Experiment 1 (masked vs unmasked words; fMRI and ERP arms of the same design → one experiment, two sample_ids per U2) and Experiment 2 (masked repetition priming; fMRI). Propose P04-E1 = Experiment 1 and a new row P04-E2 = Experiment 2.",False
P04-E2,P04,Dehaene et al. 2001,none (proposed new row),experiment (Experiment 2; fMRI),2,"10 (T scale 9 d.f.; t9 in forced-choice test); 3 men, 7 women",visual,neutral,,Masked prime × visible target: prime–target repetition (same/different word) × case change; primes masked throughout (no seen/unseen contrast),fMRI repetition suppression (case-independent in left fusiform; case-specific in right extrastriate); response times; forced-choice prime identification at chance,report (post-imaging two-alternative forced-choice on the primes; subjective denial of seeing primes),as P04-E1 (Discussion is shared; the citation-only GNWT sentence concerns the visible vs masked contrast of Experiment 1 rather than Experiment 2),shared Discussion (see P04-E1),True,"Access held below threshold throughout: masked primes with no seen/unseen contrast (I1 contested category); the analysed contrast is repetition priming, not awareness","Results: 'Behaviorally, participants again denied seeing the primes and were unable to select them in a two-alternative forced-choice test (53.6% correct, t9 = 2.10, p > 0.10).' Methods, Experiment 2: 'Each trial consisted in the presentation of a masked prime and a visible target (Fig. 4a). We used a 2 × 2 design with factors of prime-target repetition (same or different word) and case change'.",Proposed new row. Its own sample (n=10) and own analysed contrast (repetition suppression).,True
P07-E1,P07,"Sergent, Baillet & Dehaene 2005",publication-as-one (partition unverified),publication-as-one (single experiment; confirmed),1,16 recruited and analysed in the main seen/unseen ERP analyses; 13 in the four-category visibility analysis (3 discarded for <6% of trials in a category),visual,neutral,,"Attentional blink (dual vs single task; short vs long T1–T2 SOA); T2 seen vs unseen at identical stimulation, trial-wise","Continuous visibility ratings (bimodal distribution); ERP time course for seen vs unseen T2 (divergence from ~270 ms; N2, N3, N4, P3a, P3b); source model",report (trial-wise continuous subjective visibility scale for T2),"GNWT — named as the framework the result bears on ('global neuronal workspace' model, refs 10, 11)","Discussion, 'Two stages of stimulus processing': 'The involvement of these regions is consistent with recent simulations of a ‘global neuronal workspace’ model10 according to which suprathreshold stimuli gain access to consciousness by mobilizing a global workspace11 of multiple distant associative areas including prefrontal, parietal and anterior cingulate nodes... This model also predicts the existence of a discontinuous threshold for conscious access15,19,21'. Introduction: 'To disentangle theories predicting an early, gradual correlate of conscious access and theories predicting late divergences...'",False,,"Methods, Participants: 'Sixteen right-handed native French speakers took part in the experiment (seven women and nine men; mean age: 24, ranging from 18 to 36).' Results: 'We discarded from this analysis three participants for whom one of the four categories contained fewer than 6% of trials. For the other 13 participants, median visibility was ...'","No partition change. Attribution changes from ""not verifiable from abstract"" to GNWT named by the authors in the Discussion.",False
P09-E1,P09,"Lumer, Friston & Rees 1998",publication-as-one (partition unverified),publication-as-one (single experiment; confirmed),1,6 analysed (of 10 scanned; 4 excluded for short mean dominance times),visual,neutral,,Binocular rivalry (face vs grating) vs non-rivalrous replay of the same perceptual alternations; transition events time-locked to key-press reports,"fMRI transient activity time-locked to perceptual transitions; rivalry > replay in right frontoparietal (inferior/superior parietal, inferior frontal, insula/frontal operculum) and early visual cortex; dominance-phase durations",report (key presses signalling perceptual alternations),"none named (the Discussion asserts a distributed frontoparietal system mediating perceptual switches and ""the role of frontoparietal areas in conscious perception""; no coded theory is named or cited as the framework; the searched sections — Introduction, Results, Discussion, Notes — contain no theory label)","none; nearest passage, Discussion: 'the present results are more consistent with the notion that a distributed frontoparietal system specifically mediates the perceptual switches experienced during rivalry ... Thus, our results suggest that the role of frontoparietal areas in conscious perception extends well beyond that of spatial processing.'",False,,"Note 11 (Methods): 'Of the 10 volunteers that were scanned, 6 had long mean dominance times and were retained for analysis of brain activity (4 males and 2 females, mean age, 31 years: age range, 27 to 34 years ...' [OCR-corrected spelling]. Results: 'Subjects used key presses to signal perceptual' alternations.","No partition change. The .txt is an OCR of the Science scan and contains fragments of adjacent articles (tadpole and crystallography notes); these were ignored. N changes from ""not stated"" to 10 scanned / 6 analysed.",False
P10-E1,P10,Frässle et al. 2014,publication-as-one (partition unverified),"publication-as-one (single experiment, three-way within-subject design; confirmed)",1,"20 (all analysed; behavioural statistics report t(19); no participant exclusions stated, only the first four scans per run discarded)",visual,neutral,,Report condition (active button-press report vs passive viewing) × rivalry vs replay × rivalry type (colour/motion vs luminance gratings); perceptual state read out objectively from OKN and pupil size,fMRI activity time-locked to perceptual alternations (rivalry > replay) under active report vs passive viewing; frontal activity present only with active report; dominance durations; validity of OKN/pupil readouts,both (active-report blocks with button presses; passive no-report blocks decoded from OKN/pupil),"none named (the authors test ""the popular view of a driving role of frontal areas in the initiation of perceptual alternations"" against a self-monitoring/introspection hypothesis; no coded theory is named in Introduction, Results or Discussion)","none; nearest passage, Abstract/Discussion: 'Our results question the popular view of a driving role of frontal areas in the initiation of perceptual alternations during binocular rivalry.' Introduction: 'we hypothesize that the frontal activation typically seen in rivalry is attributable to increased self-monitoring around perceptual switches.'",False,,"Materials and Methods, Observers: 'Twenty observers (9 male, 11 female, age: 19–30 years) participated in the experiment.' Methods: 'Together with the two rivalry types, the experimental design therefore was a three-way repeated measures within-subjects design.'",No partition change; N supplied (20). Attribution unchanged (none named).,False
P11-E1,P11,Tsuchiya & Koch 2005,publication-as-one (partition unverified),"experiment (Experiment 1: initial suppression duration, CFS vs binocular rivalry)",5,17 (d.f. = 16 in the paired t-test),visual,neutral,,Dichoptic suppression method (CFS with 10 Hz Mondrians vs binocular rivalry) applied to a gray figure; time until any part of the figure became visible,Initial suppression duration (56.0 s CFS vs 4.3 s rivalry); trials with no visibility for the full 3 min,report (button press at first visibility + verbal description),"none named (no coded theory named in Introduction, Results or Discussion; the Discussion closes with ""These results support the view that attention and awareness involve different mechanisms1,46"", which is not a coded theory)","none; Discussion: 'These results support the view that attention and awareness involve different mechanisms1,46.'",False,,"Methods, Experiment 1: 'Seventeen naive subjects participated. They were instructed to hit a space bar when any part of a gray image became visible and to describe it verbally to the experimenter.' Results: 'The mean initial suppression time in 16 trials was 4.3 s for binocular rivalry and 56.0 s for CFS (13 times longer than for binocular rivalry; paired t-test, t-score = 4.81, d.f. = 16, P < 0.001).'",Partition change: the publication reports five numbered experiments with separate samples (Methods: Experiment 1–5). Propose P11-E1 = Experiment 1 and new rows P11-E2..E5.,False
P11-E2,P11,Tsuchiya & Koch 2005,none (proposed new row),"experiment (Experiment 2: two-trial pilot, verbal percept description)",5,16 (two trials each; described by the authors as a pilot experiment),visual,neutral,,CFS applied to one of two isoluminant Gabor adaptors (suppressed vs visible location) during 5-s adaptation,Verbal description of afterimage percepts (87% reported weaker afterimage at the suppressed location),report (free verbal description of percept after adaptation),"none named (no coded theory named in Introduction, Results or Discussion; the Discussion closes with ""These results support the view that attention and awareness involve different mechanisms1,46"", which is not a coded theory)","none; Discussion: 'These results support the view that attention and awareness involve different mechanisms1,46.'",False,,"Results, 'Pilot experiments on afterimage reduction': 'Sixteen naive subjects verbally described their percepts after a 5-s adaptation in two trials (Supplementary Table 1 online). Subjects usually reported that the adaptor suppressed by CFS produced a weaker afterimage (87% in the two-trial experiment ...)'",Proposed new row; consider ancillary_experiment = True (authors label it a pilot experiment).,True
P11-E3,P11,Tsuchiya & Koch 2005,none (proposed new row),"experiment (Experiment 3: synchronous vs asynchronous CFS, afterimage rating)",5,6 (d.f. = 5),visual,neutral,,"Synchronous vs asynchronous CFS relative to intermittent Gabor adaptors, plus an unsuppressed control location",Subjective afterimage intensity rating relative to control (synchronous CFS 5.85 vs asynchronous 11.1; 47% reduction),report (magnitude rating of afterimage intensity),"none named (no coded theory named in Introduction, Results or Discussion; the Discussion closes with ""These results support the view that attention and awareness involve different mechanisms1,46"", which is not a coded theory)","none; Discussion: 'These results support the view that attention and awareness involve different mechanisms1,46.'",False,,"Results: 'Each of six naive subjects performed 20 trials, rating the subjective intensity of the afterimages induced by the synchronously and asynchronously suppressed Gabor adaptors relative to the control, which received a rating of 10 (Fig. 3, bottom).'",Proposed new row; consider ancillary_experiment = True (control for Mondrian afterimage interference).,True
P11-E4,P11,Tsuchiya & Koch 2005,none (proposed new row),experiment (Experiment 4: reliability of suppression vs afterimage reduction; CFS and binocular rivalry),5,5 (four naive subjects and the first author),visual,neutral,,Reliability of suppression varied via adaptor spatial frequency (5 levels) and adaptor/Mondrian contrast (3 combinations); CFS vs binocular rivalry; adaptor visibility reported per trial,Which afterimage was stronger (2AFC) as a function of adaptor visibility (r² = 0.82 CFS; 0.76 rivalry),report (2AFC afterimage comparison + trial-wise yes/no visibility of the adaptor),"none named (no coded theory named in Introduction, Results or Discussion; the Discussion closes with ""These results support the view that attention and awareness involve different mechanisms1,46"", which is not a coded theory)","none; Discussion: 'These results support the view that attention and awareness involve different mechanisms1,46.'",False,,"Methods, Experiment 4: 'Four naive subjects and the first author participated. Subjects compared the intensity of afterimages produced by a pair of adaptors ...' Results: 'subjects indicated which side had the stronger afterimage and whether they saw the Gabor adaptor at the CFS location during adaptation.'",Proposed new row.,True
P11-E5,P11,Tsuchiya & Koch 2005,none (proposed new row),experiment (Experiment 5: trial-by-trial visibility and afterimage matching contrast),5,5 (four experienced subjects and the first author; n = 5 in the reported t-test),visual,neutral,,CFS suppression of a Gabor adaptor under three conditions from Experiment 4; adaptor visibility tracked continuously by key-hold during 5-s adaptation,Matching contrast of afterimage (psychometric fits); relation between trial-wise adaptor visibility duration and afterimage strength,report (continuous key-hold visibility report + 2AFC afterimage comparison),"none named (no coded theory named in Introduction, Results or Discussion; the Discussion closes with ""These results support the view that attention and awareness involve different mechanisms1,46"", which is not a coded theory)","none; Discussion: 'These results support the view that attention and awareness involve different mechanisms1,46.'",False,,"Methods, Experiment 5: 'Four experienced (but naive to the hypothesis of this experiment) subjects and the first author participated. Subjects pressed a key to indicate if the suppressed Gabor became visible during a 5-s adaptation period and then reported on which side the afterimage was stronger.'",Proposed new row.,True
