status,table,doi,title,url,cells
OPEN — please download,S1,10.1016/j.biopsycho.2014.11.004,Knowing your own heart: Distinguishing interoceptive accurac,https://www.sciencedirect.com/science/article/pii/S0301051114002294/pd,S1 PP×M7 [EXPLICIT]; S2 P32-E1
OPEN — please download,S1,10.1016/j.cortex.2017.05.019,"The neural monitoring of visceral inputs, rather than attent",https://www.sciencedirect.com/science/article/pii/S0010945217301740/pd,S1 NSF×M5 [INTERPRETED]; S1 NSF×M4b [EXPLICIT]
OPEN — please download,S1,10.1016/j.neuron.2020.01.026,Conscious Processing and the Global Neuronal Workspace Hypot,http://www.cell.com/article/S0896627320300520/pdf,S1 GNWT×M1 [NOT_LOCATED]; S1 GNWT×M3 [INTERPRETED]; S1 GNWT×M6 [NOT_LOCATED]; S1 GNWT×M4a [NOT_LOCATED]; S1 GNWT×M4b [NO
OPEN — please download,S1,10.1016/j.pneurobio.2020.101844,Attention control and the attention schema theory of conscio,https://www.sciencedirect.com/science/article/pii/S030100822030099X/pd,S1 AST×M7 [INTERPRETED]; S2 P21-E1; S2 P21-E2
OPEN — please download,S1,10.1016/j.tics.2013.09.007,"Interoceptive inference, emotion, and the embodied self",http://www.cell.com/article/S1364661313002118/pdf,S1 PP×M3 [EXPLICIT]; S1 PP×M4a [EXPLICIT]
OPEN — please download,S1,10.1016/j.tics.2018.08.008,Being a Beast Machine: The Somatic Basis of Selfhood,http://sro.sussex.ac.uk/id/eprint/78366/1/SethTsakiris_TICS_ACCEPTED.p,S1 PP×M6 [INTERPRETED]
OPEN — please download,S1,10.1016/j.tics.2019.04.007,The Global Workspace Needs Metacognition,http://www.cell.com/article/S1364661319300993/pdf,S1 GNWT×M7 [INTERPRETED]
OPEN — please download,S1,10.1016/j.tics.2022.09.002,The topological space of subjective experience,https://doi.org/10.1016/j.tics.2022.09.002,S1 NSF×M6 [INTERPRETED]
OPEN — please download,S1,10.1017/s0140525x15000643,Homing in on consciousness in the nervous system: An action-,https://www.cambridge.org/core/services/aop-cambridge-core/content/vie,S1 PFT×M1 [INTERPRETED]; S1 PFT×M2 [INTERPRETED]; S1 PFT×M5 [NOT_LOCATED]; S1 PFT×M6 [NOT_LOCATED]; S1 PFT×M7 [NOT_LOCAT
OPEN — please download,S1,10.1017/s0140525x15002812,Passive frame theory: A new synthesis,https://philpapers.org/archive/MORPFT-6.pdf,S1 PFT×M3 [INTERPRETED]; S1 PFT×M8 [NOT_APPLICABLE]
OPEN — please download,S1,10.1037/0033-295x.112.4.1000,The Function of Phenomenal States: Supramodular Interaction ,https://philpapers.org/archive/MORTFO.pdf,S1 SIT×M1 [EXPLICIT]; S1 SIT×M5 [NOT_LOCATED]; S1 SIT×M6 [NOT_LOCATED]; S1 SIT×M7 [NOT_LOCATED]; S1 SIT×M4a [INTERPRETED
OPEN — please download,S1,10.1073/pnas.1401201111,Attributing awareness to oneself and to others,https://www.ncbi.nlm.nih.gov/pmc/articles/3977229,S1 AST×M8 [EXPLICIT]
OPEN — please download,S1,10.1073/pnas.1619316114,A higher-order theory of emotional consciousness,https://www.pnas.org/content/pnas/114/10/E2016.full.pdf,S1 HOT×M3 [INTERPRETED]; S1 HOT×M4a [INTERPRETED]; S1 HOT×M4c [INTERPRETED]
OPEN — please download,S1,10.1098/rstb.2013.0208,The neural subjective frame: from bodily signals to perceptu,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2013.0208,S1 NSF×M1 [NOT_LOCATED]; S1 NSF×M2 [NOT_LOCATED]; S1 NSF×M3 [INTERPRETED]; S1 NSF×M7 [NOT_LOCATED]; S1 NSF×M4a [INTERPRE
OPEN — please download,S1,10.1523/jneurosci.1932-20.2021,Responses to Heartbeats in Ventromedial Prefrontal Cortex Co,https://www.jneurosci.org/content/jneuro/41/23/5102.full.pdf,S1 NSF×M3 [INTERPRETED]
OPEN — please download,S1,10.33735/phimisci.2020.ii.64,Predictive processing as a systematic basis for identifying ,https://philosophymindscience.org/index.php/phimisci/article/download/,S1 PP×M8 [INTERPRETED]
OPEN — please download,S2,10.1002/hbm.24748,The neural correlates of “mind blanking”: When the,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.24748,S2 P36-E1
OPEN — please download,S2,10.1016/j.cognition.2016.01.009,Visual input signaling threat gains preferential a,https://www.sciencedirect.com/science/article/pii/S0010027716300099,S2 P28-E1
OPEN — please download,S2,10.1016/j.cub.2025.10.026,Neural correlates of consciousness in an auditory ,https://doi.org/10.1016/j.cub.2025.10.026,S2 P14-E1
OPEN — please download,S2,10.1016/j.visres.2008.07.013,How emotional arousal and valence influence access,https://www.sciencedirect.com/science/article/pii/S004269890800360X/pdf,S2 P27-E1
OPEN — please download,S2,10.1037/1528-3542.7.4.882,Fearful expressions gain preferential access to aw,https://www.ncbi.nlm.nih.gov/pmc/articles/4038625,S2 P26-E1
OPEN — please download,S2,10.1093/brain/aww358,Split brain: divided perception but undivided cons,https://academic.oup.com/brain/article-pdf/140/5/1231/18223376/aww358.pdf,S2 P34-E1
OPEN — please download,S2,10.1093/scan/nss066,Mindfulness meditation training alters cortical re,https://academic.oup.com/scan/article-pdf/8/1/15/27107126/nss066.pdf,S2 P33-E1
OPEN — please download,S2,10.1523/jneurosci.18-01-00411.1998,Masked Presentations of Emotional Facial Expressio,https://www.jneurosci.org/content/jneuro/18/1/411.full.pdf,S2 P29-E1
OPEN — please download,S2,10.1523/jneurosci.4403-13.2014,Binocular Rivalry: Frontal Activity Relates to Int,https://www.jneurosci.org/content/jneuro/34/5/1738.full.pdf,S2 P10-E1
closed — institutional access or author copy,S1,10.1007/s00221-013-3566-5,Neural correlates of the essence of conscious conflict: fMRI,https://doi.org/10.1007/s00221-013-3566-5,S1 SIT×M8 [INTERPRETED]; S2 P23-E1
closed — institutional access or author copy,S1,10.1016/j.concog.2011.09.021,A signal detection theoretic approach for estimating metacog,https://doi.org/10.1016/j.concog.2011.09.021,S1 HOT×M7 [EXPLICIT]; S2 P16-E1
closed — institutional access or author copy,S1,10.1016/j.tics.2006.03.007,"Conscious, preconscious, and subliminal processing: a testab",https://doi.org/10.1016/j.tics.2006.03.007,S1 GNWT×M2 [NOT_LOCATED]; S1 GNWT×M5 [INTERPRETED]
closed — institutional access or author copy,S1,10.1016/j.tics.2006.09.001,Towards a true neural stance on consciousness,https://doi.org/10.1016/j.tics.2006.09.001,S1 RPT×M1 [NOT_LOCATED]; S1 RPT×M2 [NOT_LOCATED]; S1 RPT×M5 [NOT_LOCATED]; S1 RPT×M6 [NOT_LOCATED]; S1 RPT×M7 [NOT_LOCAT
closed — institutional access or author copy,S1,10.1016/j.tics.2011.05.009,Empirical support for higher-order theories of conscious awa,https://doi.org/10.1016/j.tics.2011.05.009,S1 HOT×M1 [NOT_LOCATED]; S1 HOT×M2 [NOT_LOCATED]; S1 HOT×M5 [NOT_LOCATED]; S1 HOT×M6 [NOT_LOCATED]; S1 HOT×M7 [EXPLICIT]
closed — institutional access or author copy,S1,10.1016/s0166-2236(00)01657-x,The distinct modes of vision offered by feedforward and recu,https://doi.org/10.1016/s0166-2236(00)01657-x,S1 RPT×M3 [NOT_LOCATED]; S1 RPT×M8 [EXPLICIT]
