scope,quantity_id,quantity,YES,YES(neg),IMPLICIT,NO,n
trial-level,M1,N of simultaneously competing policies,1,0,1,7,9
trial-level,M2,Degree of incompatibility between policies,1,0,2,6,9
trial-level,M3,Valence of conscious content,1,0,5,3,9
trial-level,M4,Autonomic / interoceptive channel involvement,2,2,1,4,9
trial-level,M5,Organism-wide coherence (cortical + autonomic),0,0,3,6,9
trial-level,M6,Dimensionality of phenomenal space,2,0,3,4,9
trial-level,M7,Precision of metarepresentation,2,0,2,5,9
trial-level,M8,Cortical signature of access,5,0,3,1,9
origin-level,M1,N of simultaneously competing policies,0,0,0,2,2
origin-level,M2,Degree of incompatibility between policies,0,0,0,2,2
origin-level,M3,Valence of conscious content,2,0,0,0,2
origin-level,M4,Autonomic / interoceptive channel involvement,1,0,1,0,2
origin-level,M5,Organism-wide coherence (cortical + autonomic),0,0,2,0,2
origin-level,M6,Dimensionality of phenomenal space,0,0,0,2,2
origin-level,M7,Precision of metarepresentation,0,0,0,2,2
origin-level,M8,Cortical signature of access,0,0,1,1,2
all rows,M1,N of simultaneously competing policies,1,0,1,9,11
all rows,M2,Degree of incompatibility between policies,1,0,2,8,11
all rows,M3,Valence of conscious content,3,0,5,3,11
all rows,M4,Autonomic / interoceptive channel involvement,3,2,2,4,11
all rows,M5,Organism-wide coherence (cortical + autonomic),0,0,5,6,11
all rows,M6,Dimensionality of phenomenal space,2,0,3,6,11
all rows,M7,Precision of metarepresentation,2,0,2,7,11
all rows,M8,Cortical signature of access,5,0,4,2,11
