publication_id,study_family_id,experiment_id,sample_id,citation_label,doi,year,experiment_label,participants_total,participants_in_analysis,samples_detail,paradigm,modality,affective_status,effector_type,content_class_v2,manipulation,measured_outcome,report_type,theory_attribution_by_authors,theory_attribution_later,later_attribution_evidence,later_attribution_detail,theory_attribution_coder,by_authors_named,later_named,later_context_read,theory_addressed,theory_addressed_strict,theory_addressed_incl_coder,contested_inclusion,contested_reason,ancillary_experiment,has_content_manipulation,legacy_content,legacy_theory_addressed,evidence_status,notes,unit_type
P01,F01,P01-E1,P01-E1-S1;P01-E1-S2;P01-E1-S3,Cogitate Consortium et al. 2025,10.1038/s41586-025-08888-1,2025,Experiment 1 of the preregistered protocol (three modality arms),256,234,"S1 fMRI: 120 tested, 108 analysed (12 excluded: motion, coverage, incomplete); S2 MEG: 102 tested, 97 analysed (5 excluded); S3 iEEG: 34 recruited, 32 implanted, 29 analysed","Suprathreshold viewing of faces/objects/letters/false fonts for 0.5/1.0/1.5 s, target detection; fMRI, MEG, iEEG",visual,neutral,,neutral-visual,"Stimulus category (face/object/letter/false font), orientation, duration, task relevance",Decoding of conscious content and duration; sustained activity; fronto-visual synchrony (preregistered predictions),both (task-relevant targets reported; task-irrelevant stimuli seen without report),"GNWT vs IIT — title; abstract; preregistered predictions (Methods, Supplementary)",,,not needed (attribution by authors),,True,False,False,True,True,True,False,,False,True,neutral-visual,GNWT vs IIT,full text read,,experiment
P03,F03,P03-E1,P03-E1-S1,"Del Cul, Baillet & Dehaene 2007",10.1371/journal.pbio.0050260,2007,Single experiment,12,12,12 participants; ERP seen/not-seen comparison at SOA 50 ms on a 9-participant subset with enough trials,Backward masking of digits at variable SOA; EEG,visual,neutral,,neutral-visual,Target–mask SOA (masking strength),"Subjective visibility, objective comparison accuracy, ERP components (nonlinear P3 transition)",report,"GNWT — Introduction and Fig. 1 (schematic predictions of the ""global neuronal workspace"" model)","GNWT: Mashour et al. 2020, doi:10.1016/j.neuron.2020.01.026 (cited as evidence for P300 ignition); PFT: Morsella et al. 2015, doi:10.1017/s0140525x15000643 (integration consensus)",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,neutral-visual,GNWT,full text read,,experiment
P04,F04,P04-E1,P04-E1-S1,Dehaene et al. 2001,10.1038/89551,2001,fMRI and ERP study of masked words (partition into experiments not verifiable from abstract),not stated in abstract,not stated in abstract,,"Masked vs unmasked word presentation, repetition priming; fMRI and ERP",visual,neutral,,neutral-visual,"Masking of words (seen vs unseen), repetition",fMRI activation and repetition suppression; ERP,report,not verifiable from abstract (no theory named in abstract),"GNWT: Dehaene & Changeux 2011, doi:10.1016/j.neuron.2011.03.018; Dehaene et al. 2006, doi:10.1016/j.tics.2006.03.007; HOSS: Fleming 2020, doi:10.1093/nc/niz020; Boly et al. 2017 Fig. 1F (report-based fronto-parietal contrast; theory not named at locus)",REFLIST;CONTEXT_UNNAMED,"reference list only (OpenAlex) except Boly et al. 2017 (context read, theory not named)",GNWT (authors are GNWT proponents; reduced prefrontal/parietal activation for unseen words is the GNWT signature) — coder inference,False,True,False,True,False,True,False,,False,True,neutral-visual,GNWT,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
P06,F06,P06-E1,P06-E1-S1,Salti et al. 2015,10.7554/elife.05652,2015,Single experiment,17,12,"5 excluded for calibration failure; 12 analysed, one without EEG",Threshold detection of a faint square with location report; EEG/MEG decoding,visual,neutral,,neutral-visual,Near-threshold contrast; seen vs unseen at matched behaviour (blindsight trials),MVPA decoding of location on seen vs unseen trials; timing of divergence,report,"GNWT — Introduction (""The Global Neuronal Workspace (GNW) model asserts…"")","GNWT: Mashour et al. 2020, doi:10.1016/j.neuron.2020.01.026 (decodable ignition)",CONTEXT_NAMED,context read,,True,True,True,True,True,True,False,,False,True,neutral-visual,GNWT,full text read,,experiment
P07,F07,P07-E1,P07-E1-S1,"Sergent, Baillet & Dehaene 2005",10.1038/nn1549,2005,Single ERP experiment (per abstract),not stated in abstract,not stated in abstract,,Attentional blink with visibility ratings; ERP,visual,neutral,,neutral-visual,Attentional blink (T2 seen vs unseen at identical stimulation),Visibility ratings; ERP divergence around 270 ms,report,"not verifiable from abstract (abstract speaks of a ""late wave… distributed network"", no theory named)","GNWT: Mashour et al. 2020, doi:10.1016/j.neuron.2020.01.026 (early processing preserved on unseen trials); Dehaene & Changeux 2011; Dehaene et al. 2006; RPT: Lamme 2010, doi:10.1080/17588921003731586",CONTEXT_NAMED;REFLIST,Mashour 2020 context read; others reference list only,,False,True,True,True,True,True,False,,False,True,neutral-visual,GNWT,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
P08,F08,P08-E1,P08-E1-S1,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,Main experiment (active and passive sessions),25,20,"25 recruited, 2 discontinued, 3 excluded; 20 analysed",Near-threshold vowels in noise; active (report) and passive (no-report) sessions; EEG,auditory,neutral,,neutral-nonvisual,Signal-to-noise ratio around audibility threshold; report vs no report,Bifurcation in late EEG activity; prediction of audibility reports and of randomly sampled conscious contents,both,"GNWT — abstract/Discussion: tests and updates ""predictions of the global neuronal workspace model""","Melloni et al. 2023 protocol, doi:10.1371/journal.pone.0268577 (reference list)",,reference list only,,True,False,False,True,True,True,False,,False,True,neutral-nonvisual,GNWT,full text read,,experiment
P08,F08,P08-E2,P08-E2-S1,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,Control experiment 1: passive session only (naïve participants),10,10,,Near-threshold vowels in noise; active (report) and passive (no-report) sessions; EEG,auditory,neutral,,neutral-nonvisual,Signal-to-noise ratio around audibility threshold; report vs no report,Bifurcation in late EEG activity; prediction of audibility reports and of randomly sampled conscious contents,no-report,"GNWT — same framing as main experiment (Methods, ""Control experiment 1"")",,,,,True,False,False,True,True,True,False,,True,True,neutral-nonvisual,GNWT,full text read,,experiment
P08,F08,P08-E3,P08-E3-S1,Sergent et al. 2021,10.1038/s41467-021-21393-z,2021,Control experiment 2: vowels replaced by simple tones,5,5,,Near-threshold vowels in noise; active (report) and passive (no-report) sessions; EEG,auditory,neutral,,neutral-nonvisual,Signal-to-noise ratio around audibility threshold; report vs no report,Bifurcation in late EEG activity; prediction of audibility reports and of randomly sampled conscious contents,not verified (design of control 2 not fully read),"GNWT — same framing as main experiment (Methods, ""Control experiment 2"")",,,,,True,False,False,True,True,True,False,,True,True,neutral-nonvisual,GNWT,full text read,,experiment
P09,F09,P09-E1,P09-E1-S1,"Lumer, Friston & Rees 1998",10.1126/science.280.5371.1930,1998,Single fMRI experiment (per abstract),not stated in abstract,not stated in abstract,,Binocular rivalry (face vs grating) vs replay; fMRI,visual,neutral,,neutral-visual,Rivalrous vs non-rivalrous (replay) perceptual transitions,fMRI activity time-locked to perceptual alternations,report,not verifiable from abstract (no theory named; frontoparietal role in conscious perception asserted),"GNWT: Dehaene & Naccache 2001, doi:10.1016/s0010-0277(00)00123-2 (reference list); Boly et al. 2017 Fig. 1E (report-based fronto-parietal contrast; theory not named at locus)",REFLIST;CONTEXT_UNNAMED,"reference list only / Boly 2017 context read, theory not named","GNWT (frontoparietal correlates of perceptual switching) — coder inference; legacy also listed RPT, for which no source was located",False,True,False,True,False,True,False,,False,True,neutral-visual,GNWT/RPT,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
P10,F10,P10-E1,P10-E1-S1,Frässle et al. 2014,10.1523/jneurosci.4403-13.2014,2014,Single fMRI experiment with active and passive conditions (per abstract),not stated in abstract,not stated in abstract,,Binocular rivalry with OKN/pupil as objective readout; active-report vs passive (no-report); fMRI,visual,neutral,,neutral-visual,Report vs no report of rivalry alternations (gratings),fMRI correlates of alternations in frontal vs occipito-parietal cortex,both,"none named (abstract questions ""the popular view of a driving role of frontal areas""; no theory label)","Boly et al. 2017 Fig. 1G, doi:10.1523/jneurosci.3218-16.2017 (cited as evidence that report-independent correlates are posterior; theory not named at locus); NSF: Babo-Rebelo et al. 2016, doi:10.1523/JNEUROSCI.0262-16.2016 (reference list); Melloni et al. 2023 and Cogitate 2025 (reference lists)",CONTEXT_UNNAMED;REFLIST,Boly 2017 context read (theory not named); others reference list only,Bears on GNWT (frontal involvement) as a no-report challenge; legacy coded GNWT — coder inference,False,True,False,True,False,True,False,,False,True,neutral-visual,GNWT,abstract only (full text not accessible in sandbox),,publication-as-one (partition unverified)
