domain_id,domain,n_explicit,n_interpreted,explicit_theories,n_stated_predictions,n_pairs_registered,n_pairs_different,n_pairs_jointly_compatible,n_pairs_discriminating,n_pairs_incompatible,n_pairs_conf2,old_n_distinguishable,old_n_conf2_either_end,old_n_conf2_both_ends,old_class,old_class_conf2_either_end,old_class_conf2_both_ends,new_n_contesting,new_contesting_pairs,new_n_contesting_conf2,new_class,new_class_conf2,pair_register_coverage
M1,number of simultaneously competing action policies,1,1,SIT,1,0,0,0,0,0,0,0,0,0,single-occupant,single-occupant,single-occupant,0,,0,single-occupant,single-occupant,no
M2,incompatibility of the competing policies,1,1,SIT,1,0,0,0,0,0,0,0,0,0,single-occupant,single-occupant,single-occupant,0,,0,single-occupant,single-occupant,no
M3,valence,3,5,FM;PP;UAL,3,0,0,0,0,0,0,0,0,0,occupied-not-contested,occupied-not-contested,occupied-not-contested,0,,0,occupied-not-contested,occupied-not-contested,no
M5,organism-wide cortical–autonomic coherence,0,5,,0,0,0,0,0,0,0,0,0,0,thin,thin,thin,0,,0,thin,thin,no
M6,dimensionality of phenomenal structure,2,3,HOSS;IIT,2,1,1,0,0,0,1,1,0,0,contested,occupied-not-contested,occupied-not-contested,0,,0,occupied-not-contested,occupied-not-contested,yes
M7,metacognitive sensitivity,3,2,HOSS;HOT;PP,3,0,0,0,0,0,0,0,0,0,occupied-not-contested,occupied-not-contested,occupied-not-contested,0,,0,occupied-not-contested,occupied-not-contested,no
M8,cortical signature of access,6,4,AST;GNWT;HOSS;HOT;IIT;RPT,12,54,42,10,2,0,52,15,14,11,contested,contested,contested,2,P02-P05;P08-P09,1,contested,contested,yes
M4a,access to interoceptive content as content,2,5,FM;PP,2,0,0,0,0,0,0,0,0,0,occupied-not-contested,occupied-not-contested,occupied-not-contested,0,,0,occupied-not-contested,occupied-not-contested,no
M4b,visceral modulation of access to exteroceptive content,1,1,NSF,1,0,0,0,0,0,0,0,0,0,single-occupant,single-occupant,single-occupant,0,,0,single-occupant,single-occupant,no
M4c,conscious involvement in purely autonomic conflict,2,2,PFT;SIT,2,0,0,0,0,0,0,0,0,0,occupied-not-contested,occupied-not-contested,occupied-not-contested,0,,0,occupied-not-contested,occupied-not-contested,no
